"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Tampa Bay Buccaneers","","2.4","0.7","0.7","0.9","0.2","0.0","29.1","426.9","6.1"
"","high","3.1","0.8","1.0","1.0","0.2","0.0","32.6","404.0","6.6"
"","low","2.0","0.5","0.5","0.7","0.1","0.0","26.6","449.8","3.1"
"Detroit Lions","","2.3","0.6","0.6","0.9","0.2","0.1","33.6","447.3","6.0"
"","high","2.3","0.9","0.8","1.0","0.2","0.1","35.2","444.0","6.1"
"","low","2.1","0.5","0.4","0.7","0.1","0.0","31.8","450.7","3.4"
"New York Giants","","2.2","0.9","0.6","0.7","0.1","0.0","25.4","364.9","6.0"
"","high","3.1","1.0","0.7","0.8","0.2","0.0","30.0","340.0","6.5"
"","low","1.4","0.7","0.4","0.6","0.1","0.0","22.3","389.8","6.0"
"Minnesota Vikings","","2.0","0.7","0.7","0.9","0.2","0.1","27.2","382.9","5.9"
"","high","2.0","0.9","0.8","1.1","0.2","0.1","29.4","374.8","6.3"
"","low","1.9","0.6","0.5","0.7","0.1","0.0","24.8","391.0","4.7"
"Baltimore Ravens","","2.5","0.7","0.5","0.7","0.2","0.0","22.5","338.8","5.9"
"","high","2.8","0.9","0.6","0.7","0.2","0.0","25.0","315.0","7.4"
"","low","2.0","0.4","0.4","0.7","0.1","0.0","20.9","362.7","4.6"
"San Francisco 49ers","","2.6","0.6","0.5","0.6","0.1","0.0","29.1","361.0","5.4"
"","high","2.9","0.9","0.6","0.6","0.2","0.0","30.3","344.0","6.4"
"","low","2.4","0.4","0.4","0.6","0.0","0.0","27.8","378.1","4.0"
"Oakland Raiders","","1.3","0.9","0.5","0.6","0.2","0.0","36.2","461.3","5.0"
"","high","1.8","0.9","0.8","0.7","0.2","0.0","38.8","452.6","5.3"
"","low","1.1","0.8","0.3","0.5","0.1","0.0","33.8","470.0","2.6"
"Dallas Cowboys","","1.6","0.6","0.6","1.0","0.1","0.0","30.2","402.8","4.8"
"","high","2.2","0.9","0.8","1.2","0.2","0.0","32.1","394.6","5.6"
"","low","1.3","0.4","0.5","0.8","0.1","0.0","29.3","411.0","2.6"
""
""
