"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Peyton Barber","TB","13.6","53.6","0.5","1.3","10.6","0.0","0.1","9.3"
"","high","15.0","60.0","1.0","1.8","15.4","0.1","0.0","13.0"
"","low","12.5","46.2","0.3","0.8","6.8","0.0","0.1","7.1"
"Dion Lewis","TEN","11.9","46.4","0.3","3.6","27.1","0.1","0.1","9.2"
"","high","13.6","56.1","0.4","4.0","32.0","0.2","0.1","11.0"
"","low","10.3","35.3","0.0","3.0","23.5","0.0","0.2","8.0"
"Tevin Coleman","ATL","11.4","43.7","0.2","2.6","24.7","0.2","0.1","9.2"
"","high","12.7","48.8","0.3","3.4","30.7","0.3","0.0","10.5"
"","low","9.0","39.9","0.0","2.0","20.0","0.0","0.1","6.0"
"LeSean McCoy","BUF","13.9","53.1","0.2","2.8","22.6","0.0","0.1","8.9"
"","high","15.2","59.1","0.3","3.0","25.7","0.1","0.0","9.8"
"","low","12.4","46.8","0.0","2.5","17.7","0.0","0.1","7.9"
"Carlos Hyde","JAC","14.4","55.4","0.4","1.6","12.1","0.0","0.2","8.9"
"","high","16.0","65.0","0.5","2.0","20.0","0.1","0.1","10.2"
"","low","11.9","47.0","0.0","1.2","6.7","0.0","0.3","8.0"
"Jordan Howard","CHI","14.2","56.5","0.4","1.1","8.8","0.0","0.1","8.8"
"","high","15.8","62.7","0.6","1.4","11.9","0.1","0.0","10.5"
"","low","13.0","50.0","0.0","0.7","5.6","0.0","0.1","6.0"
"Kenyan Drake","MIA","8.5","34.3","0.2","3.7","27.7","0.2","0.1","8.5"
"","high","10.0","40.0","0.4","4.4","32.6","0.4","0.1","9.4"
"","low","7.7","29.2","0.0","3.0","25.0","0.0","0.2","6.5"
"Doug Martin","OAK","12.2","55.6","0.3","1.6","12.3","0.0","0.1","8.3"
"","high","14.0","65.0","0.4","2.5","20.7","0.1","0.1","10.1"
"","low","10.3","46.0","0.0","0.8","5.0","0.0","0.2","7.0"
"Frank Gore","MIA","13.8","54.7","0.2","1.2","10.0","0.0","0.1","8.0"
"","high","16.0","60.0","0.4","1.5","11.7","0.1","0.0","8.7"
"","low","12.3","51.0","0.0","1.0","9.0","0.0","0.1","7.0"
"Derrick Henry","TEN","10.7","42.0","0.5","0.9","6.8","0.0","0.1","7.9"
"","high","12.7","52.3","1.0","1.0","9.0","0.1","0.0","9.5"
"","low","9.0","30.0","0.3","0.8","4.3","0.0","0.1","6.2"
"LeGarrette Blount","DET","11.9","48.1","0.3","0.8","6.2","0.0","0.1","7.5"
"","high","14.1","57.5","0.6","1.6","12.0","0.1","0.0","9.7"
"","low","10.1","39.3","0.0","0.0","0.0","0.0","0.1","4.0"
