"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Josh Gordon","NE","4.2","63.4","0.3","0.0","0.0","0.0","0.0","8.2"
"","high","5.0","65.0","0.5","0.0","0.0","0.0","0.0","9.3"
"","low","4.0","60.4","0.0","0.0","0.0","0.0","0.1","6.5"
"Allen Robinson","CHI","3.9","53.1","0.5","0.0","0.0","0.0","0.0","8.2"
"","high","4.2","55.0","1.0","0.0","0.0","0.0","0.0","11.5"
"","low","3.6","50.8","0.2","0.0","0.0","0.0","0.0","6.5"
"David Moore","SEA","3.0","43.7","0.6","0.0","0.1","0.0","0.0","7.9"
"","high","5.0","55.0","1.0","0.1","0.5","0.0","0.0","11.5"
"","low","1.7","30.6","0.4","0.0","-0.1","0.0","0.0","5.7"
"Doug Baldwin","SEA","4.3","50.8","0.4","0.0","0.0","0.0","0.0","7.6"
"","high","4.7","57.4","0.6","0.1","0.0","0.0","0.0","8.7"
"","low","4.0","45.0","0.0","0.0","0.0","0.0","0.1","4.5"
"Mike Williams","LAC","2.9","42.2","0.5","0.3","1.4","0.0","0.0","7.3"
"","high","4.0","48.6","1.0","0.7","4.3","0.0","0.0","10.5"
"","low","2.1","36.6","0.3","0.0","0.0","0.0","0.0","5.9"
"Adam Humphries","TB","4.8","55.5","0.2","0.1","0.6","0.0","0.0","7.0"
"","high","6.0","65.0","0.4","0.2","1.3","0.0","0.0","7.5"
"","low","3.7","45.9","0.0","0.0","0.0","0.0","0.1","6.5"
"Jarvis Landry","CLE","5.0","56.6","0.2","0.0","0.0","0.0","0.1","7.0"
"","high","6.0","66.9","0.3","0.1","0.1","0.0","0.0","8.5"
"","low","4.0","50.0","0.0","0.0","0.0","0.0","0.1","5.0"
"Demaryius Thomas","HOU","4.0","51.7","0.3","0.0","0.0","0.0","0.0","6.9"
"","high","4.7","64.9","0.6","0.0","0.0","0.0","0.0","10.1"
"","low","3.5","46.9","0.0","0.0","0.0","0.0","0.1","5.0"
